feature,mean_abs_shap,mean_signed_shap,rank
first_receiver_betweenness,0.5151131749153137,-0.1223055049777031,1
defthird_pressure_density,0.46517276763916016,-0.11457302421331406,2
opp_press_height,0.32297688722610474,-0.06010154262185097,3
sd_zero,0.3028113842010498,-0.01878856122493744,4
first_receiver_pressure_seconds,0.22667083144187927,-0.02966340258717537,5
recent_pass_reach,0.17950907349586487,-0.05237514525651932,6
first_receiver_pressure_binary,0.05482487380504608,-0.0047095720656216145,7
min_31_45plus,0.03820405527949333,-0.003976383246481419,8
sd_minus2_or_worse,0.0,0.0,9
sd_minus1,0.0,0.0,10
sd_plus1,0.0,0.0,11
min_0_15,0.0,0.0,12
sd_plus2_or_better,0.0,0.0,13
min_16_30,0.0,0.0,14
min_46_60,0.0,0.0,15
min_61_75,0.0,0.0,16
min_76_90plus,0.0,0.0,17
